testID,tester,machine,cpu,mhz,hwAvail,os,compiler,autoParallel,benchType,base,peak
cpu95-19990104-03254,Dell,Precision WorkStation 610 (450MHz),450 MHz Pentium II XEON,450.0,Jan-1999,Microsoft Windows NT 4.0 sp3,Intel Fortran Compiler 2.4,No,CFP95,13.9,15.2
cpu95-19990104-03256,Dell,Precision WorkStation 610 (450MHz),450 MHz Pentium II XEON,450.0,Jan-1999,Microsoft Windows NT 4.0 sp3,"Intel C Compiler 2.4 for Windows NT, Microsoft Visual C++(for libraries)",No,CINT95,19.0,19.0
cpu95-19990118-03257,"Siemens, Germany",CELSIUS 2000,Pentium II Xeon Processor 450 MHz,450.0,Nov-1998,Windows NT V4.0 (Service Pack 3),Intel C Compiler Plug-In 2.4,No,CINT95,18.9,18.9
cpu95-19990118-03258,"Siemens, Germany",CELSIUS 2000,Pentium II Xeon Processor 450 MHz,450.0,Nov-1998,Windows NT V4.0 (Service Pack 4),Intel Fortran Compiler Plug-In 2.4,No,CFP95,13.5,15.0
cpu95-19990122-03268,"Sun, Palo Alto",Sun Enterprise 3500,400MHz UltraSPARC II,400.0,Dec-1998,Solaris 2.7,Sun C 5.0,No,CINT95,14.3,17.7
cpu95-19990122-03281,"Sun, Palo Alto",Sun Enterprise 3500,400MHz UltraSPARC II,400.0,Dec-1998,Solaris 2.7,Sun F77 5.0,No,CFP95,22.5,25.4
cpu95-19990122-03282,"Sun, Palo Alto",Sun Enterprise 3500,400MHz UltraSPARC II,400.0,Dec-1998,Solaris 2.7,Sun F77 5.0,No,CFP95,29.0,33.3
cpu95-19990122-03283,"Sun, Palo Alto",Sun Enterprise 3500,400MHz UltraSPARC II,400.0,Dec-1998,Solaris 2.7,Sun F77 5.0,No,CFP95,37.3,42.8
cpu95-19990122-03284,"Sun, Palo Alto",Sun Enterprise 3500,400MHz UltraSPARC II,400.0,Dec-1998,Solaris 2.7,Sun F77 5.0,No,CFP95,41.6,47.6
cpu95-19990122-03285,"Sun, Palo Alto",Sun Enterprise 3500,400MHz UltraSPARC II,400.0,Dec-1998,Solaris 2.7,Sun F77 5.0,No,CFP95,44.0,50.1
cpu95-19990122-03286,"Sun, Palo Alto",Sun Enterprise 4500,400MHz UltraSPARC II,400.0,Dec-1998,Solaris 2.7,Sun F77 5.0,No,CFP95,45.0,51.1
cpu95-19990122-03287,"Sun, Palo Alto",Sun Enterprise 4500,400MHz UltraSPARC II,400.0,Dec-1998,Solaris 2.7,Sun F77 5.0,No,CFP95,46.7,54.4
cpu95-19990201-03390,Digital NH,Compaq Professional Workstation XP1000,500 MHz 21264,500.0,Feb-1999,Digital UNIX X4.0E-8 + Patch Kit 1,DIGITAL Fortran V5.2 KAP Fortran V4.1,No,CFP95,44.5,52.2
cpu95-19990201-03391,Digital NH,Compaq Professional Workstation XP1000,500 MHz 21264,500.0,Feb-1999,Digital UNIX X4.0E-8,DEC C V6.0-007-4088L protect_headers_setup.sh,No,CINT95,23.2,26.9
cpu95-19990201-03394,FUJITSU LIMITED,FUJITSU GP7000F Model600 275,272MHz SPARC64 GP,272.0,Dec-1998,Solaris 2.6 HW:5/98,Sun C5.0 Early Access,No,CINT95,13.7,17.6
cpu95-19990201-03395,FUJITSU LIMITED,FUJITSU GP7000F Model600 275,272MHz SPARC64 GP,272.0,Dec-1998,Solaris 2.6 HW:5/98,Fujitsu Fortran V4.0.1,No,CFP95,25.0,27.1
cpu95-19990201-03399,FUJITSU LIMITED,FUJITSU GP7000F Model200 250,248MHz SPARC64 GP,248.0,Dec-1998,Solaris 2.6 HW:5/98,Sun C5.0 Early Access,No,CINT95,12.5,15.9
cpu95-19990201-03403,FUJITSU LIMITED,FUJITSU GP7000F Model200 225,224MHz SPARC64 GP,224.0,Dec-1998,Solaris 2.6 HW:5/98,Sun C5.0 Early Access,No,CINT95,11.0,14.0
cpu95-19990201-03413,FUJITSU LIMITED,FUJITSU GP7000F Model200 225,224MHz SPARC64 GP,224.0,Dec-1998,Solaris 2.6 HW:5/98,Fujitsu Fortran V4.0.1,No,CFP95,16.3,17.2
cpu95-19990201-03414,FUJITSU LIMITED,FUJITSU GP7000F Model200 250,248MHz SPARC64 GP,248.0,Dec-1998,Solaris 2.6 HW:5/98,Fujitsu Fortran V4.0.1,No,CFP95,19.4,20.9
cpu95-19990226-03434,"Sun, Palo Alto",Sun Enterprise 250,400 MHz UltraSPARC-II,400.0,Mar-1999,Solaris 7 (kernel/unix),Sun f77 5.0 Developer Release (12/22/98),No,CFP95,19.6,21.9
